dimension,group,barrier,percentage,reliability
Age group,65+,Poor health or injury,35.746,
Age group,65+,Increasing age/too old,47.429,
Age group,65+,Disability,24.081,
Age group,65+,Too lazy,7.041,
Age group,65+,Not enough time/too many other commitments,3.78,
Age group,65+,Don't like sport/physical activity,14.273,
Age group,65+,Not a priority,9.465,
Age group,65+,Nobody to do it with,5.24,
Age group,65+,Can't afford it,3.531,
Age group,65+,Fear of injury,6.562,
Age group,65+,Physical job,1.271,
Age group,65+,The weather,4.244,
Age group,65+,Not good enough,4.272,
Age group,65+,Too busy doing children's activities,0.408,*
Age group,65+,Looking after child/ren,0.214,**
Age group,65+,Not value for money/not worth it,1.165,
Age group,65+,No transport/can't get there,2.597,
Age group,65+,No opportunities/facilities/clubs in my areas,0.997,
Age group,65+,Too competitive,0.849,*
Age group,65+,Fear of discrimination,0.153,**
Age group,65+,Not familiar with activity/rules,0.491,*
Age group,65+,Pregnancy,0.0,**
Age group,65+,No longer interested/don't like it,0.49,*
Age group,65+,Not culturally appropriate,0.0,**
